文献列表,数据排序,名称,杂志名称,年份,classify,monomer1,monomer1(wt%),monomer2,monomer2(wt%),单体材料3,"比例
(wt%)",单体材料4,"比例
(wt%)",Frontal Velocity(cm/min),Frontal Temperature(℃),环境温度(℃),催化剂,"用量
(wt%)",抑制剂,"用量
(wt%)",交联剂,"用量
(wt%)",initiator1,initiator1(wt%),initiator2,initiator2(wt%),引发时间(min),"Pot life
适用期(h)",degree of curing(%),"能量输入
(J)","反应焓
(J/g)","粘度
(mPa.s)","诱导期
(min)",断裂伸长率(%),"硬度
(MPa)",弹性模量(MPa),断裂强度(MPa),Tensile strength(MPa),"拉伸模量
(MPa)",拉伸应力(MPa),"弯曲强度
(MPa)","弯曲模量
(MPa)","压缩强度
(MPa)","压缩模量
(MPa)","抗张强度
(MPa)","抗压强度
(KPa)","储能模量
(MPa)","损耗模量
(MPa)","降低模量
(MPa)","剪切强度
(MPa)","切线模量
（kPa）","冲击强度
(MPa)",Young's modulus(MPa),介电常数,"介电损耗
tan","电导率
（mS/m）","光敏性
（%）",glass transition temperature（℃）,平衡溶胀比ESR（%）,"不同pH溶胀比
（%）",pH,不同时间溶胀比（%）,"时间
（h）",不同温度溶胀比（%）,"温度
（C）","3D打印长度
（mm）","3D打印速度
（mm/s）",备注1,备注2,引发体系,引发方式
1,11,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,50,环己烷,50,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,12,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,40,环己烷,60,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,13,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,30,环己烷,70,,,,,,,,GC2,0.01,TBP,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,14,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,2.72,,,GC2,0.005,TBP,0.008,,,,,,,180,,,,,10310450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,15,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,4.15,,,GC2,0.005,TBP,0.008,,,,,,,150,,,,,8180846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,16,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,4.25,,,GC2,0.005,TBP,0.008,,,,,,,90,,,,,6448837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,17,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,4.88,,,GC2,0.005,TBP,0.008,,,,,,,120,,,,,7728781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,18,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,5.7,,,GC2,0.005,TBP,0.008,,,,,,,60,,,,,3927076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,19,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,6.65,,,GC2,0.005,TBP,0.008,,,,,,,30,,,,,664581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
1,20,Anisotropic Foams via Frontal Polymerization,ADVANCED MATERIALS,2022,,DCPD,80,环己烷,20,,,,,6.98,,,GC2,0.005,TBP,0.008,,,,,,,0,,,,,561097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
2,21,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXA,100,CE,0,,,,,3.1,,,,,,,,,,,,,,,96,,490,286,,2.2,,,,53,3200,,,,,,,,3100,,,,,,,,,,,110,,,,,,,,,,"①第一种是将双酚A（环氧氯丙烷）（75 wt.%）环氧树脂与1,4-丁二醇二缩水甘油醚（25 wt.%）混合，分别添加TPED和OPA（1.5:1.5 wt.%：wt.%），得到的。该配方被标记为EPOXA。第二种配方由BADGE（75 wt.%）和1,4-丁二醇二缩水甘油醚（25 wt.%）与TPED和OPA（1.5:1.5 wt.%：wt.%）混合组成，标记为EPOXB。
②3,4-环氧环己基甲基3,4-环氧环己烷羧酸酯（CE）",,光引发体系,紫外线照射
2,22,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXA,95,CE,5,,,,,3.3,,,,,,,,,,,,,,,92.8,,488,259,,2.5,,,,57,3000,,,,,,,,3300,,,,,,,,,,,115,,,,,,,,,,,,光引发体系,紫外线照射
2,23,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXA,75,CE,25,,,,,3.8,,,,,,,,,,,,,,,87.1,,480,215,,2.2,,,,61,3600,,,,,,,,3500,,,,,,,,,,,105,,,,,,,,,,,,光引发体系,紫外线照射
2,24,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXA,64,CE,36,,,,,4.1,,,,,,,,,,,,,,,78,,478,174,,1.8,,,,54,3600,,,,,,,,3800,,,,,,,,,,,103,,,,,,,,,,,,光引发体系,紫外线照射
2,25,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXB,100,CE,0,,,,,4.6,,,,,,,,,,,,,,,97.1,,524,174,,2.0 ,,,,45,3000,,,,,,,,3100,,,,,,,,,,,104,,,,,,,,,,,,光引发体系,紫外线照射
2,26,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXB,95,CE,5,,,,,4.7,,,,,,,,,,,,,,,94,,537,172,,2.5,,,,57,3100,,,,,,,,3400,,,,,,,,,,,103,,,,,,,,,,,,光引发体系,紫外线照射
2,27,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXB,75,CE,25,,,,,4.8,,,,,,,,,,,,,,,82,,494,161,,2.3,,,,63,3700,,,,,,,,3900,,,,,,,,,,,98,,,,,,,,,,,,光引发体系,紫外线照射
2,28,"Effect of a Dicycloaliphatic Epoxide on the Thermo-Mechanical Properties of Alkyl, Aryl Epoxide Monomers Cured via UV-Induced Cationic Frontal Polymerization",Macromolecules,2022,epoxy,EPOXB,64,CE,36,,,,,5.0 ,,,,,,,,,,,,,,,71,,454,151,,1.9,,,,55,3800,,,,,,,,4000,,,,,,,,,,,83,,,,,,,,,,,,光引发体系,紫外线照射
3,29,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,0,,,,,,,,,DMPT,0.00 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"三羟甲基丙烷三丙烯酸酯（TMPTA）
N、 N-二甲基对甲基苯胺（DMPT）
对-（辛氧基苯基）苯基碘六氟锑酸盐（IOC-8）N-二甲基苯胺（DMA）",两种引发体系？,光引发体系,LED灯照
3,30,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,0,,,,,,,,,DMA,0.38 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,31,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,0,,,,,,,,,DMA,0.57 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,32,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,0.9,,,,,,,,,DMPT,0.20 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,33,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.12,,,,,,,,,DMA,0.76 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,34,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.35,,,,,,,,,DMA,1.52 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,35,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.35,,,,,,,,,DMA,1.90 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,36,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.37,,,,,,,,,DMPT,0.40 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,37,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.38,,,,,,,,,DMA,2.28 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,38,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.39,232,,,,,,,,DMA,1.14 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,39,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.84,,,,,,,,,DMPT,0.80 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,40,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.98,,,,,,,,,DMPT,2.00 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,41,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,1.99,226,,,,,,,,DMPT,1.20 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
3,42,Charge transfer complexes as dual thermal/photo initiators for free-radical frontal polymerization,JOURNAL OF POLYMER SCIENCE,2022,acrylate,TMPTA,100,,,,,,,2.06,,,,,,,,,DMPT,1.60 ,IOC-8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,光引发体系,LED灯照
4,43,Frontally polymerizable shape memory polymer for 3D printing of free-standing structures,SMART MATERIALS AND STRUCTURES,2022,,DCPD,95,ENB,5,CO,0,,,,,,GC2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1641.81,,,,,,,,,,,88.41,,,,,,,,,,环辛二烯(CO),,热引发体系,烙铁加热
4,44,Frontally polymerizable shape memory polymer for 3D printing of free-standing structures,SMART MATERIALS AND STRUCTURES,2022,,DCPD,84.5,ENB,5,CO,10.5,,,,,,GC2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1407.44,,,,,,,,,,,85.2,,,,,,,,,,,,热引发体系,烙铁加热
4,45,Frontally polymerizable shape memory polymer for 3D printing of free-standing structures,SMART MATERIALS AND STRUCTURES,2022,,DCPD,76.2,ENB,5,CO,18.8,,,,,,GC2,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.59,,,,,,,,,,,61.72,,,,,,,,,,,,热引发体系,烙铁加热
5,46,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,DEGMA,100,TPP-TEG-MA,0,,,,,0.43,155.1,,,,,,,,APSO,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,四苯基卟啉单体（TPP-TEG-MA）；聚（乙二醇）甲醚丙烯酸酯（PEGMA）；二（乙二醇）甲醚甲基丙烯酸酯（DEGMA）,,热引发体系,电烙铁加热
5,47,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,PEGMA,100,TPP-TEG-MA,0,,,,,0.47,95.9,,,,,,,,APSO,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,48,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,PEGMA,99.9,TPP-TEG-MA,0.1,,,,,0.53,99.1,,,,,,,,APSO,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,49,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,DEGMA,99.8,TPP-TEG-MA,0.2,,,,,0.63,140.1,,,,,,,,APSO,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,50,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,DEGMA,99.6,TPP-TEG-MA,0.4,,,,,0.73,160.7,,,,,,,,APSO,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,51,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,PEGMA,99.8,TPP-TEG-MA,0.2,,,,,0.77,88.9,,,,,,,,APSO,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,52,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,DEGMA,99.1,TPP-TEG-MA,0.9,,,,,0.79,131.7,,,,,,,,APSO,7.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,53,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,PEGMA,99.6,TPP-TEG-MA,0.4,,,,,0.79,98,,,,,,,,APSO,3.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,54,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,DEGMA,98.3,TPP-TEG-MA,1.7,,,,,0.80 ,147.4,,,,,,,,APSO,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
5,55,"Novel porphyrin-containing hydrogels obtained by frontal polymerization: 
Synthesis, characterization and optical properties",POLYMER,2022,acrylate,PEGMA,99.2,TPP-TEG-MA,0.8,,,,,0.81,98.7,,,,,,,,APSO,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,电烙铁加热
6,56,Organic-inorganic materials through first simultaneous frontal polymerization and frontal geopolymerization,Materials letter,2021,,HDDA,100,,,,,,,4.14,190,,,,,,,,TETDPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
7,57,An Epoxy Adhesive Crosslinked through Radical-Induced Cationic Frontal Polymerization,MACROMOLECULAR,2021,epoxy,BADGE,50,CE,50,,,,,,,,,,,,,,,,,,,,83.8,,,,,,,,,,,,,,,,,,,,,13.1,,,,,,,,130,,,,,,,,,,"1,6-己二醇二丙烯酸酯（HDDA）；过硫酸三己基十四烷基鏻（TETDPPS）",,热引发体系,
7,58,An Epoxy Adhesive Crosslinked through Radical-Induced Cationic Frontal Polymerization,MACROMOLECULAR,2021,epoxy,BADGE,40,CE,60,,,,,,,,,,,,,,,,,,,,91.5,,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,125,,,,,,,,,,"双酚a二缩水甘油醚（DGEBA）；3,4-环氧环己基甲基3,4-环氧环己烷羧酸酯（CE）；",,热引发体系,
7,59,An Epoxy Adhesive Crosslinked through Radical-Induced Cationic Frontal Polymerization,MACROMOLECULAR,2021,epoxy,BADGE,25,CE,75,,,,,,,,,,,,,,,,,,,,91.4,,,,,,,,,,,,,,,,,,,,,18.3,,,,,,,,109,,,,,,,,,,,,热引发体系,
8,60,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,258.2,,,,,,,,IOC-8,0.5,Luperox®231,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,61,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,286.3,,,,,,,,IOC-8,1,Luperox®231,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,62,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,286.4,,,,,,,,IOC-8,1.5,Luperox®231,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,63,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,254.5,,,,,,,,IOC-8,0.5,Luperox®231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,64,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,289.9,,,,,,,,IOC-8,1,Luperox®231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,65,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,284.6,,,,,,,,IOC-8,1.5,Luperox®231,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,66,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,249.7,,,,,,,,IOC-8,0.5,Luperox®231,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,67,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,275.9,,,,,,,,IOC-8,1,Luperox®231,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,68,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"DVE-1,4",50,,,,,,299.3,,,,,,,,IOC-8,1.5,Luperox®231,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,69,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,25,"BVE-1,4",75,,,,,1.93,144.8,,,,,,,,IOC-8,0.5,Luperox®231,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,70,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,100,"DVE-1,4",0,,,,,2.47,,,,,,,,,IOC-8,0.5,Luperox®231,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,71,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,50,"BVE-1,4",50,,,,,3.08,175,,,,,,,,IOC-8,0.5,Luperox®231,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
8,72,Front velocity dependence on vinyl ether and initiator concentration in radical-induced cationic frontal polymerization of epoxies,JOURNAL OF POLYMER SCIENCE,2021,epoxy,TMPTE,75,TEGDVE,25,,,,,3.41,255.9,,,,,,,,IOC-8,0.5,Luperox®231,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,热引发体系,烙铁加热
